fighter_id,fade_slope,fade_slope_dev,population_slope,slope_se,total_min_fought,min_past_10,n_fights,n_fights_reaching_r3,n_round_obs
3522,-0.2229686413604923,-0.22990068818347437,0.006932046822982068,0.08667059668237029,211.4335,42.7333,25,9,51
4897,-0.2190943349753554,-0.22602638179833748,0.006932046822982068,0.07941650539536751,109.6334,35.36665,14,4,27
1995,-0.17225936849885554,-0.1791914153218376,0.006932046822982068,0.06694386902717099,292.1999,103.6833,25,14,62
3269,-0.1645161693087608,-0.17144821613174288,0.006932046822982068,0.07255316809804453,257.7167,74.54995,24,12,58
2706,-0.15630951134076548,-0.16324155816374755,0.006932046822982068,0.09355339632427268,136.4667,25.0,21,5,34
2407,-0.14813835132510952,-0.1550703981480916,0.006932046822982068,0.08986583349816166,162.6667,45.71665,15,10,36
4633,-0.14656863548731502,-0.1535006823102971,0.006932046822982068,0.07712061637750423,177.5832,54.8333,17,7,38
589,-0.14546901002580837,-0.15240105684879043,0.006932046822982068,0.09209804277816915,148.6334,39.4333,14,8,32
2070,-0.14183795106461047,-0.14876999788759254,0.006932046822982068,0.10431194554196441,42.0,10.0,5,2,10
1327,-0.1400235910479359,-0.14695563787091798,0.006932046822982068,0.10101529456325246,62.95,16.8333,6,4,14
2674,-0.13499397908742372,-0.1419260259104058,0.006932046822982068,0.10547774577529755,37.1667,7.066650000000001,4,2,9
103,-0.13202829608068625,-0.13896034290366832,0.006932046822982068,0.08339397580430136,178.05,65.0,12,11,36
3888,-0.12963735693070938,-0.13656940375369145,0.006932046822982068,0.0960984910476616,124.5167,21.01665,14,5,28
5091,-0.12909361859533275,-0.13602566541831482,0.006932046822982068,0.08021152292730759,95.8166,35.0,11,3,23
3080,-0.12881625967033342,-0.13574830649331548,0.006932046822982068,0.08414533449807457,137.4333,41.29995,14,7,32
3146,-0.1275148703961222,-0.13444691721910426,0.006932046822982068,0.09174028051103521,156.2499,27.5333,21,7,38
3905,-0.1264009392152322,-0.13333298603821428,0.006932046822982068,0.08320699314245465,160.9167,57.0167,13,10,35
2134,-0.12622177360724804,-0.1331538204302301,0.006932046822982068,0.09671530664323669,101.4832,20.0,15,4,26
868,-0.12605192436712068,-0.13298397119010275,0.006932046822982068,0.09519120562924217,100.3833,27.9833,11,6,23
2586,-0.12083180326571916,-0.12776385008870123,0.006932046822982068,0.09926824192689214,98.6168,15.0,14,3,24
2923,-0.11972996846899175,-0.12666201529197382,0.006932046822982068,0.0640411265467195,202.7499,93.95,16,8,45
3927,-0.11890027998178543,-0.1258323268047675,0.006932046822982068,0.06949105485488748,293.5499,105.0,21,15,61
3998,-0.11750546512273503,-0.1244375119457171,0.006932046822982068,0.08179405921282829,178.2666,45.59995,19,8,40
3615,-0.11635361394281285,-0.12328566076579492,0.006932046822982068,0.0887678003733893,171.6334,50.0,16,10,38
4055,-0.11489634357724306,-0.12182839040022513,0.006932046822982068,0.0943005845331328,149.4999,25.0,18,5,36
938,-0.1128829383085884,-0.11981498513157046,0.006932046822982068,0.09235932305536915,136.9001,24.76665,21,6,35
1322,-0.11199613140120208,-0.11892817822418415,0.006932046822982068,0.09287162626679314,142.5169,30.0,18,6,34
5085,-0.11195825851434019,-0.11889030533732226,0.006932046822982068,0.07531822794419568,135.9334,56.46665,11,6,30
4713,-0.11089712196015679,-0.11782916878313886,0.006932046822982068,0.08812274765035594,195.0833,49.8,19,10,43
3305,-0.1105564486097153,-0.11748849543269736,0.006932046822982068,0.09887949319433248,53.3,15.0,6,2,12
4421,-0.1076131878398013,-0.11454523466278337,0.006932046822982068,0.0782128830679012,366.5166,93.29995,32,20,80
2963,-0.10690158448028823,-0.1138336313032703,0.006932046822982068,0.09300978900685022,148.7668,40.9833,12,9,31
2694,-0.10398316543792606,-0.11091521226090813,0.006932046822982068,0.10022820029959091,66.2167,15.04995,8,4,16
811,-0.10283779900482996,-0.10976984582781203,0.006932046822982068,0.08357332179048592,175.0667,50.0,15,8,37
939,-0.10167706748196571,-0.10860911430494778,0.006932046822982068,0.0632366163121851,249.9834,115.0,16,10,53
96,-0.10131152279678268,-0.10824356961976475,0.006932046822982068,0.09370789087680571,149.9667,35.0,14,7,32
3777,-0.10105412189365943,-0.1079861687166415,0.006932046822982068,0.07726555728301644,205.1833,75.75,14,12,42
5033,-0.09871532734015268,-0.10564737416313474,0.006932046822982068,0.10867831207621298,18.4833,3.4833,2,1,4
129,-0.09868237175470812,-0.10561441857769019,0.006932046822982068,0.0985604470743084,83.6667,25.0,7,5,18
1417,-0.09819792927011675,-0.10512997609309882,0.006932046822982068,0.0772913662116279,157.5666,52.26665,16,7,35
2976,-0.09809278518866757,-0.10502483201164964,0.006932046822982068,0.10476631946285539,38.9333,9.61665,4,2,9
983,-0.09791712910362803,-0.1048491759266101,0.006932046822982068,0.09644204358155388,109.4333,27.55,10,6,24
1889,-0.09727605051724425,-0.10420809734022632,0.006932046822982068,0.06965341632168677,302.8501,97.34995,27,15,66
4263,-0.09695842398486534,-0.10389047080784741,0.006932046822982068,0.09857455133539944,82.3166,25.0,7,5,18
258,-0.09544131878251012,-0.10237336560549219,0.006932046822982068,0.10095266474871314,62.9833,17.0833,6,4,14
856,-0.09480138723608893,-0.101733434059071,0.006932046822982068,0.10049839669692096,72.6334,15.0,10,3,18
2844,-0.09466904663107054,-0.1016010934540526,0.006932046822982068,0.09155796391285552,167.3501,40.0,16,8,36
4202,-0.09354214275687386,-0.10047418957985593,0.006932046822982068,0.09276524841252433,152.7001,37.35,14,8,34
2868,-0.09237360983407188,-0.09930565665705395,0.006932046822982068,0.09815631833699935,113.6833,16.2333,14,4,26
1344,-0.09209803282671014,-0.09903007964969221,0.006932046822982068,0.10014374243660208,77.1166,20.0,7,4,16
1094,-0.09172570401127915,-0.09865775083426122,0.006932046822982068,0.105051658727724,31.4167,10.0,3,2,7
1034,-0.09149297487944914,-0.09842502170243121,0.006932046822982068,0.07641972009722231,216.9166,79.3666,15,13,45
2458,-0.09142745173825184,-0.09835949856123391,0.006932046822982068,0.08144841865355874,120.1833,45.0,9,5,25
1961,-0.09130514016323406,-0.09823718698621613,0.006932046822982068,0.0940014131182971,129.1167,37.2,11,8,27
1820,-0.09034831472847496,-0.09728036155145703,0.006932046822982068,0.06323732904554139,337.9164,106.08330000000001,31,16,77
3074,-0.08981599053137226,-0.09674803735435433,0.006932046822982068,0.1102833169779305,32.0666,0.0,9,0,11
2795,-0.0879728916568461,-0.09490493847982817,0.006932046822982068,0.07208933682322347,436.53340000000003,113.9833,44,24,97
1203,-0.08792716096408953,-0.0948592077870716,0.006932046822982068,0.08954523782379131,171.3333,51.4333,14,11,37
625,-0.08762739524106028,-0.09455944206404235,0.006932046822982068,0.10438088982936507,33.2333,10.0,4,2,8
2224,-0.08717173093004772,-0.09410377775302979,0.006932046822982068,0.10217730635685217,82.9499,10.0,11,2,20
3836,-0.08685689374192307,-0.09378894056490514,0.006932046822982068,0.0978306941930387,91.9,25.0,9,5,20
1502,-0.08677406577762954,-0.09370611260061161,0.006932046822982068,0.09476502498838169,113.0,34.41665,10,7,24
1375,-0.08658717184072742,-0.09351921866370949,0.006932046822982068,0.05782319197251698,378.7667,174.46665,22,19,77
3441,-0.08658340557250421,-0.09351545239548628,0.006932046822982068,0.07801740465253604,178.8001,58.76665,14,9,39
2159,-0.08539399281197739,-0.09232603963495946,0.006932046822982068,0.07936948990547975,151.7665,51.3833,12,7,34
4548,-0.08512625182598854,-0.09205829864897061,0.006932046822982068,0.09404759846426944,143.5166,29.3833,16,6,32
1748,-0.08394420268201701,-0.09087624950499908,0.006932046822982068,0.09716073698435976,101.2334,24.666650000000004,10,6,22
3931,-0.08367075015578658,-0.09060279697876865,0.006932046822982068,0.09994428983420085,92.1167,15.0,12,3,21
886,-0.08293896930811576,-0.08987101613109783,0.006932046822982068,0.07300044819302168,250.8168,70.5333,25,11,56
2538,-0.08216983989236608,-0.08910188671534815,0.006932046822982068,0.09460538881285568,123.7667,28.65,13,6,28
575,-0.08209834493418201,-0.08903039175716408,0.006932046822982068,0.08514291009888032,230.1501,64.44995,20,14,50
141,-0.08047632808414071,-0.08740837490712278,0.006932046822982068,0.06072862021881511,296.7333,133.85,19,14,63
1063,-0.080197280748321,-0.08712932757130307,0.006932046822982068,0.07812231147607389,238.9332,64.46665,25,11,52
2452,-0.07981408941072393,-0.086746136233706,0.006932046822982068,0.10152041524163266,88.3167,14.16665,11,3,19
4593,-0.07977549400364675,-0.08670754082662882,0.006932046822982068,0.0887640475367557,149.0668,41.05,15,8,34
4791,-0.07949784512019431,-0.08642989194317638,0.006932046822982068,0.09727781168397209,79.20009999999999,18.950000000000003,8,3,18
448,-0.07838849819628851,-0.08532054501927058,0.006932046822982068,0.10635184478082417,82.6999,15.75,14,0,16
3547,-0.07783494676727849,-0.08476699359026056,0.006932046822982068,0.0909182548501301,64.1833,21.9333,6,3,15
3467,-0.07765909392295435,-0.08459114074593642,0.006932046822982068,0.08919151657662353,199.8667,60.0,14,12,40
4878,-0.07745812948833174,-0.0843901763113138,0.006932046822982068,0.0696136922691869,235.3667,79.33335,21,10,52
3803,-0.07735667126708613,-0.0842887180900682,0.006932046822982068,0.09489198248935428,111.0666,30.0,12,6,25
2854,-0.0772562182867808,-0.08418826510976286,0.006932046822982068,0.10753518792622022,27.8833,5.0,3,1,6
1387,-0.07693254635025598,-0.08386459317323805,0.006932046822982068,0.08224873857015891,214.8334,66.16669999999999,16,12,45
4322,-0.07680995197993155,-0.08374199880291362,0.006932046822982068,0.08991701947717862,85.2833,28.0,7,4,18
4949,-0.07633441280289739,-0.08326645962587946,0.006932046822982068,0.09716859936300395,104.0667,21.1333,12,5,25
2209,-0.07615137342160068,-0.08308342024458275,0.006932046822982068,0.10676095574664944,28.7834,5.0,5,1,8
2648,-0.07590637370062224,-0.08283842052360431,0.006932046822982068,0.1069400137502739,35.65,5.0,4,1,8
42,-0.07568185694093128,-0.08261390376391335,0.006932046822982068,0.07275311002247106,189.4833,72.4333,15,9,41
4506,-0.07539587697904881,-0.08232792380203088,0.006932046822982068,0.09685339615303895,104.9666,29.55,9,6,22
875,-0.07513899183358644,-0.0820710386565685,0.006932046822982068,0.07559348710185672,187.0169,60.71665,17,8,41
3231,-0.07511715715617338,-0.08204920397915545,0.006932046822982068,0.07214631841980931,230.7,85.0,16,11,47
112,-0.07499419144927036,-0.08192623827225243,0.006932046822982068,0.09385552082222445,133.6833,31.35,13,7,30
3202,-0.07402265972679144,-0.0809547065497735,0.006932046822982068,0.10684920227730749,27.55,5.0,5,1,8
543,-0.07348206805854726,-0.08041411488152933,0.006932046822982068,0.1068719410555837,31.8666,5.0,5,1,9
4704,-0.07303770127574083,-0.0799697480987229,0.006932046822982068,0.08025476745036861,117.1166,45.0,10,5,26
1099,-0.07274978864393866,-0.07968183546692073,0.006932046822982068,0.09390495500584067,136.8,41.8,10,9,28
2787,-0.07136286891878448,-0.07829491574176654,0.006932046822982068,0.10364811268043625,65.3167,8.166649999999999,10,2,16
838,-0.0711920842694907,-0.07812413109247276,0.006932046822982068,0.09909171748876706,44.1,13.15,6,2,11
4734,-0.0709386032126822,-0.07787065003566426,0.006932046822982068,0.057510339158357196,342.5833,154.3833,22,14,71
4493,-0.07033888265432255,-0.07727092947730461,0.006932046822982068,0.08836912061669691,197.0666,45.09995,20,10,43
2380,-0.07000857276506459,-0.07694061958804665,0.006932046822982068,0.09398576619729657,122.0167,33.85,12,7,27
1935,-0.06967122783212416,-0.07660327465510623,0.006932046822982068,0.1000887357182245,78.2834,15.0,11,3,18
2133,-0.06866694895501138,-0.07559899577799345,0.006932046822982068,0.07193430972872586,205.6167,70.39995,17,9,46
4522,-0.0685651784152417,-0.07549722523822378,0.006932046822982068,0.1023358121825688,59.35,15.0,6,3,13
3373,-0.06824883321335154,-0.07518088003633361,0.006932046822982068,0.08365114092369154,164.6167,45.0,16,7,35
3321,-0.06780477122334262,-0.07473681804632469,0.006932046822982068,0.10703379224701717,32.4834,5.0,4,1,8
3580,-0.06693120979509622,-0.07386325661807829,0.006932046822982068,0.09461324894309292,125.95,35.0,11,7,26
1800,-0.06660951070492424,-0.07354155752790631,0.006932046822982068,0.09606538378110738,105.4836,20.0,17,4,27
336,-0.06651104342994275,-0.07344309025292482,0.006932046822982068,0.1065117364044389,27.6333,7.633299999999998,2,2,6
3809,-0.06643487640791353,-0.0733669232308956,0.006932046822982068,0.0964924744380189,102.2,25.9333,10,6,23
2406,-0.06629549171525896,-0.07322753853824103,0.006932046822982068,0.10342492938477385,51.25,11.666649999999999,5,3,12
4058,-0.06625762552802804,-0.07318967235101011,0.006932046822982068,0.08407340750507315,155.4,50.0,13,8,33
953,-0.06576256754138148,-0.07269461436436354,0.006932046822982068,0.10646566632434792,36.25,5.0,5,1,9
2311,-0.06549199257295517,-0.07242403939593724,0.006932046822982068,0.07975777638132155,158.8666,52.066649999999996,12,7,33
3706,-0.06500587578146425,-0.07193792260444631,0.006932046822982068,0.09744756491396138,87.4,25.0,9,5,19
2176,-0.06491800811425197,-0.07185005493723404,0.006932046822982068,0.10634415656687046,37.95,5.0,6,1,10
3542,-0.0646987696085719,-0.07163081643155397,0.006932046822982068,0.10317351543010259,60.8333,13.61665,5,3,13
2415,-0.06466742907919998,-0.07159947590218205,0.006932046822982068,0.09926513185511199,92.9167,21.85,8,5,21
380,-0.06406851455906676,-0.07100056138204883,0.006932046822982068,0.10240698503276636,56.8,15.0,5,3,12
1205,-0.06404123339313851,-0.07097328021612058,0.006932046822982068,0.08995809296061535,185.8501,45.0,17,9,40
862,-0.06350245650522619,-0.07043450332820826,0.006932046822982068,0.10812118069331915,22.65,5.0,2,1,5
3900,-0.06322491423952536,-0.07015696106250743,0.006932046822982068,0.08058816365256206,183.9666,44.599900000000005,20,7,42
4558,-0.06321718256840296,-0.07014922939138503,0.006932046822982068,0.08864110470471337,90.9666,25.0,11,3,20
4191,-0.06297598723714909,-0.06990803406013116,0.006932046822982068,0.10547565441920181,39.1833,10.0,3,2,8
1874,-0.0628049370267754,-0.06973698384975748,0.006932046822982068,0.10424331283609864,45.7833,10.0,5,2,10
3148,-0.06276959793461835,-0.06970164475760042,0.006932046822982068,0.0683460171643195,307.0834,100.08324999999999,25,15,64
1485,-0.06268169861165339,-0.06961374543463546,0.006932046822982068,0.0954508489055093,127.0666,28.9333,12,6,28
1869,-0.06248613009234048,-0.06941817691532255,0.006932046822982068,0.10027402381666525,65.0,20.0,6,4,14
345,-0.06221502019353847,-0.06914706701652054,0.006932046822982068,0.09855847157148034,77.8666,20.533299999999997,8,5,18
1060,-0.06192751820493192,-0.06885956502791399,0.006932046822982068,0.09017063401708342,168.3667,49.85,14,10,35
3135,-0.06185943811739776,-0.06879148494037983,0.006932046822982068,0.10465231477151174,41.8667,10.0,4,2,9
4087,-0.061354327920570786,-0.06828637474355286,0.006932046822982068,0.09869257703044329,88.55,28.55,6,6,18
2797,-0.061059047943347836,-0.0679910947663299,0.006932046822982068,0.09406910632555635,120.7833,30.0,13,6,28
2443,-0.06100166782992132,-0.06793371465290339,0.006932046822982068,0.10612514733204946,34.8501,5.0,7,1,10
4971,-0.06091458413495776,-0.06784663095793983,0.006932046822982068,0.09215583022253328,148.0834,42.06665,13,9,31
3571,-0.060697224586515,-0.06762927140949707,0.006932046822982068,0.0982879128092613,86.65,25.0,8,5,18
701,-0.060671658900669834,-0.0676037057236519,0.006932046822982068,0.10245223680546442,66.3,15.0,6,3,14
2131,-0.06039917271751741,-0.06733121954049948,0.006932046822982068,0.09859435998174139,87.7,22.8833,8,5,20
3972,-0.06034110402156939,-0.06727315084455146,0.006932046822982068,0.09709088783267385,97.8499,25.0,10,5,22
4669,-0.05947004391444445,-0.06640209073742652,0.006932046822982068,0.10424407115439678,50.5333,6.883299999999998,7,2,13
884,-0.05933320815539053,-0.0662652549783726,0.006932046822982068,0.10477962000680857,42.5833,10.0,4,2,9
739,-0.05932315509940214,-0.06625520192238421,0.006932046822982068,0.10382006829892464,44.9333,14.9333,3,3,9
4841,-0.0590839608763712,-0.06601600769935327,0.006932046822982068,0.1084599297057336,14.9667,4.96665,1,1,3
1625,-0.058911013360537556,-0.06584306018351962,0.006932046822982068,0.10307048291841385,63.0167,13.816650000000001,5,3,13
73,-0.058639558488866664,-0.06557160531184873,0.006932046822982068,0.08841304814124681,113.4667,43.46665,7,7,23
4656,-0.058554061787103234,-0.0654861086100853,0.006932046822982068,0.10528360438004188,32.85,10.0,3,2,7
2875,-0.058395843232979666,-0.06532789005596173,0.006932046822982068,0.10398328306800118,36.5834,10.0,5,2,9
1176,-0.05833029828096914,-0.06526234510395121,0.006932046822982068,0.10486421036643068,39.4166,10.0,4,2,9
1002,-0.05805461198807388,-0.06498665881105595,0.006932046822982068,0.10144484021453609,67.6165,13.7333,8,3,16
4476,-0.058016346887650755,-0.06494839371063282,0.006932046822982068,0.09540001447269547,120.0,40.0,8,8,24
1494,-0.05740204802731155,-0.06433409485029362,0.006932046822982068,0.09130402923287936,78.25,28.666649999999997,5,4,16
438,-0.05705500501213974,-0.06398705183512181,0.006932046822982068,0.10274721430584602,46.0333,15.0,4,3,10
1488,-0.05699361497329221,-0.06392566179627428,0.006932046822982068,0.10039182323480791,60.9666,15.0,9,3,15
2199,-0.056951153579130595,-0.06388320040211266,0.006932046822982068,0.10330002411428865,49.55,15.0,4,3,10
4654,-0.056697580142027595,-0.06362962696500966,0.006932046822982068,0.10407414990745642,43.55,10.0,6,2,10
736,-0.056369292168812146,-0.06330133899179421,0.006932046822982068,0.10069258021656512,77.75,18.2333,7,4,17
4712,-0.05626762174625714,-0.06319966856923921,0.006932046822982068,0.10350930901191135,49.2,11.25,5,3,11
1830,-0.05602522828124255,-0.06295727510422462,0.006932046822982068,0.08983141628436934,200.95,48.9333,17,10,42
2922,-0.05591653715758918,-0.06284858398057125,0.006932046822982068,0.09895639347106089,87.0166,27.0166,6,6,18
2369,-0.055501133605764794,-0.06243318042874686,0.006932046822982068,0.10493831366182091,29.9833,7.449999999999999,4,2,8
356,-0.055028505689058024,-0.06196055251204009,0.006932046822982068,0.10267352419335962,59.2667,9.96665,7,3,14
3330,-0.054966857990989465,-0.061898904813971534,0.006932046822982068,0.09738066477515576,112.7668,24.86665,10,6,24
2704,-0.05459812258256493,-0.061530169405547,0.006932046822982068,0.09483265522566789,117.4333,34.9833,10,7,25
3874,-0.05459575662271955,-0.06152780344570162,0.006932046822982068,0.0920372748272391,159.4333,47.1833,12,10,33
963,-0.054133023273306706,-0.061065070096288775,0.006932046822982068,0.10391025482854006,51.8667,11.96665,4,3,11
4853,-0.05404364422745486,-0.06097569105043693,0.006932046822982068,0.08608905850594449,123.7167,44.26665,10,7,26
4431,-0.053951424105252374,-0.06088347092823444,0.006932046822982068,0.09592118842943655,123.95,26.3333,12,6,28
2553,-0.05387339941460824,-0.06080544623759031,0.006932046822982068,0.09919047037232473,83.55,17.05,10,4,20
2547,-0.0538337272778818,-0.06076577410086387,0.006932046822982068,0.0971692961077293,111.1667,28.11665,9,6,23
3970,-0.053657154820122344,-0.06058920164310441,0.006932046822982068,0.08517180539696759,112.8167,28.049999999999997,13,3,27
2258,-0.053454049030384865,-0.06038609585336693,0.006932046822982068,0.1039604461062095,18.0167,8.0167,1,1,4
1109,-0.05323427211145507,-0.060166318934437135,0.006932046822982068,0.10142672644315638,67.8,16.149950000000004,6,4,15
562,-0.053205348109959714,-0.06013739493294178,0.006932046822982068,0.11036316340612087,22.0167,0.0,5,0,7
2817,-0.05311679040958395,-0.060048837232566016,0.006932046822982068,0.10730627554064599,24.3167,5.0,4,1,6
2751,-0.05293049260627293,-0.059862539429255,0.006932046822982068,0.09680659109657322,97.9666,26.4833,9,6,22
4072,-0.052917410419800755,-0.05984945724278282,0.006932046822982068,0.08968911727916894,86.0166,30.0,7,4,18
1487,-0.05289872228507737,-0.059830769108059435,0.006932046822982068,0.09778027352123908,89.9833,25.0,9,5,19
1437,-0.05261619571510184,-0.05954824253808391,0.006932046822982068,0.10327068409228703,55.0,15.0,4,3,11
3322,-0.05260084297691721,-0.05953288979989928,0.006932046822982068,0.10143614844901934,75.4167,17.1,6,4,16
2294,-0.05240480606185472,-0.05933685288483679,0.006932046822982068,0.08866277540965614,214.6001,42.1833,23,9,48
4751,-0.05217857229078636,-0.05911061911376843,0.006932046822982068,0.10351405429925878,46.4833,13.2333,4,3,10
3829,-0.05181358819074676,-0.05874563501372883,0.006932046822982068,0.05974119336708136,408.5335,156.14995,31,22,87
3459,-0.051722505071295916,-0.058654551894277984,0.006932046822982068,0.10532057476729281,33.1,10.0,3,2,7
3680,-0.05165976123638352,-0.05859180805936559,0.006932046822982068,0.08830522773341384,82.1333,31.7333,6,4,18
2934,-0.05163068126995122,-0.05856272809293329,0.006932046822982068,0.10092970778418178,69.7167,20.0,6,4,14
4074,-0.05154076701240096,-0.05847281383538303,0.006932046822982068,0.10738630841855624,34.0167,1.3500000000000014,8,1,11
3728,-0.051517393506999874,-0.05844944032998194,0.006932046822982068,0.08479195593885201,248.6166,76.2833,18,17,52
164,-0.05143535723493362,-0.05836740405791569,0.006932046822982068,0.10750847004679888,19.9167,5.0,3,1,5
2748,-0.0513959618822496,-0.058328008705231665,0.006932046822982068,0.10278687106404102,46.25,15.0,4,3,10
5043,-0.051286993394328455,-0.05821904021731052,0.006932046822982068,0.1000502606785542,86.9333,14.149999999999999,12,3,20
1644,-0.051241563693212255,-0.058173610516194324,0.006932046822982068,0.09183588602852788,147.5334,40.0,14,8,32
5003,-0.05116502254430046,-0.05809706936728253,0.006932046822982068,0.06469665293923815,219.4167,101.3167,15,9,47
3802,-0.05107762171842984,-0.05800966854141191,0.006932046822982068,0.09216407067340181,66.2,17.683300000000003,7,2,15
1596,-0.051052719336128254,-0.05798476615911032,0.006932046822982068,0.09381956342407138,145.3667,39.04995,11,9,31
4341,-0.050828659442566544,-0.05776070626554861,0.006932046822982068,0.0974851257947024,94.7167,27.61665,8,6,20
4382,-0.050665020744082856,-0.057597067567064925,0.006932046822982068,0.10458845256599054,36.7,8.55,5,2,9
4513,-0.05058911489769059,-0.05752116172067266,0.006932046822982068,0.09025128508978543,76.4334,29.416649999999997,6,4,16
4150,-0.05058731572790246,-0.05751936255088453,0.006932046822982068,0.08953771657752686,166.9667,49.66665,15,10,36
1734,-0.050541029370596624,-0.05747307619357869,0.006932046822982068,0.10543177235243634,39.8833,10.0,3,2,8
2872,-0.05054073593332576,-0.05747278275630783,0.006932046822982068,0.08101497591820638,128.3666,50.0,9,6,27
4228,-0.05050170057952242,-0.05743374740250449,0.006932046822982068,0.09618982571079396,102.5167,30.0,9,6,22
955,-0.05030788586207861,-0.05723993268506068,0.006932046822982068,0.10495879387113022,42.65,9.55,4,2,9
3093,-0.05028928278038191,-0.05722132960336398,0.006932046822982068,0.1018816382514074,60.0,20.0,4,4,12
4977,-0.050223797294496275,-0.057155844117478344,0.006932046822982068,0.0985144194807858,90.0,25.0,8,5,19
749,-0.050182497562190946,-0.057114544385173015,0.006932046822982068,0.10758297678487935,31.6667,5.0,4,1,8
572,-0.050108341735689454,-0.05704038855867152,0.006932046822982068,0.09844639297665064,90.0,30.0,6,6,18
3685,-0.05007422237678217,-0.05700626919976424,0.006932046822982068,0.0933504898507762,121.20009999999999,23.4167,16,4,27
241,-0.04981537067057594,-0.05674741749355801,0.006932046822982068,0.06794261287587745,244.0668,94.41669999999999,17,11,52
1305,-0.049770668646626416,-0.056702715469608485,0.006932046822982068,0.10300330562461002,48.5334,12.46665,5,3,11
4117,-0.04972583580837418,-0.05665788263135625,0.006932046822982068,0.0676546842382424,222.3167,86.94995,18,10,49
538,-0.049703024304340156,-0.056635071127322224,0.006932046822982068,0.10380474596768878,45.0,15.0,3,3,9
639,-0.04963793116769786,-0.05656997799067993,0.006932046822982068,0.10973870769599428,38.55,0.0,6,0,10
2691,-0.04963012541958281,-0.05656217224256488,0.006932046822982068,0.1106658277232355,17.349999999999998,0.0,7,0,8
3870,-0.049543566529846206,-0.056475613352828274,0.006932046822982068,0.10775861022390229,25.6667,5.0,3,1,6
3083,-0.04952332671788336,-0.05645537354086543,0.006932046822982068,0.10743624155650873,32.8,5.0,4,1,7
2544,-0.04928724319523881,-0.05621929001822088,0.006932046822982068,0.09727035288478261,102.4333,32.4333,7,7,21
2188,-0.04925637241275131,-0.05618841923573338,0.006932046822982068,0.0861244351306024,203.85,48.4,23,9,44
4428,-0.04903516157124152,-0.05596720839422359,0.006932046822982068,0.09573760580049197,119.2499,29.9833,11,6,26
2734,-0.04898065889313359,-0.05591270571611566,0.006932046822982068,0.10519554617861171,37.0167,8.51665,4,2,9
2431,-0.04888945478659952,-0.05582150160958159,0.006932046822982068,0.06556380394131354,251.7666,109.9333,17,12,52
4649,-0.04885598692647508,-0.05578803374945715,0.006932046822982068,0.10954064774670938,11.0667,1.066650000000001,1,1,3
4524,-0.04863060902796799,-0.055562655850950056,0.006932046822982068,0.10411941118855793,43.5667,13.566650000000001,3,3,9
