row,fold,p_raw,raw_asymmetry,y,fight_id,event_date,fighter_a_id,fighter_b_id,weight_class,odds_a,odds_b,q_mkt,a_n_fights,b_n_fights,p_cal,calibrated,p_blend,blended,side,p_side,q_side,edge,dec_odds,won,stake
6038,2,0.28221359848976135,0.03474551439285278,0,2570,2021-06-19,1346,3278,Heavyweight,200.0,-303.0,0.30716463414634143,14,5,0.2799329881427322,True,0.2571649198067117,True,b,0.7428350801932884,0.6928353658536586,0.0499997143396298,1.33003300330033,1,0.0
6043,2,0.33650729060173035,0.03738492727279663,1,2575,2021-06-19,3804,4320,Light Heavyweight,200.0,-290.0,0.30952380952380953,1,2,0.3325794465203653,True,0.26695860233249596,True,b,0.7330413976675041,0.6904761904761905,0.042565207191313625,1.3448275862068966,0,0.0
6053,2,0.342009037733078,0.011437594890594482,0,2561,2021-06-26,1844,1285,Lightweight,195.0,-1000.0,0.2716049382716049,1,10,0.3379125724072219,True,0.23052726657943318,True,b,0.7694727334205669,0.7283950617283951,0.0410776716921718,1.1,1,0.0
6071,2,0.3216201066970825,0.11270558834075928,0,2550,2021-07-10,2863,3905,Welterweight,140.0,-235.0,0.3726362625139043,12,5,0.31814797155665325,True,0.3282076557029257,True,b,0.6717923442970744,0.6273637374860956,0.04442860681097871,1.425531914893617,1,0.0
6075,2,0.18763406574726105,0.08895039558410645,0,2536,2021-07-17,1430,102,Lightweight,175.0,-280.0,0.3304347826086957,33,2,0.18793849350824376,True,0.2639003752263767,True,b,0.7360996247736233,0.6695652173913043,0.06653440738231908,1.3571428571428572,1,0.0
6081,2,0.29138097167015076,0.13512367010116577,1,2542,2021-07-17,1449,3860,Flyweight,225.0,-350.0,0.28346456692913385,2,1,0.2888261802965171,True,0.23558500064177446,True,b,0.7644149993582255,0.7165354330708662,0.04787956628735934,1.2857142857142856,0,0.0
6092,2,0.32307490706443787,0.05566602945327759,1,2524,2021-07-24,372,1099,Bantamweight,210.0,-335.0,0.2952154733627418,4,3,0.3195583056525313,True,0.2511211412296646,True,b,0.7488788587703354,0.7047845266372582,0.04409433213307723,1.2985074626865671,0,0.0
6109,2,0.31525367498397827,0.0185621976852417,0,2507,2021-08-07,2831,2559,Light Heavyweight,190.0,-303.0,0.31442615276585784,24,5,0.31197587414046757,True,0.2689138866329655,True,b,0.7310861133670346,0.6855738472341422,0.04551226613289239,1.33003300330033,1,0.0
6112,2,0.24710527062416077,0.014961302280426025,0,2510,2021-08-07,3551,4393,Bantamweight,160.0,-250.0,0.35,3,3,0.24584665368506184,True,0.2935500645443159,True,b,0.7064499354556841,0.65,0.05644993545568411,1.4,1,0.0
6137,2,0.3304888606071472,0.02875232696533203,0,2487,2021-08-28,856,1980,Bantamweight,210.0,-320.0,0.2974504249291785,6,0,0.32674539442030637,True,0.2542751900375438,True,b,0.7457248099624563,0.7025495750708215,0.04317523489163477,1.3125,1,0.0
6157,2,0.2752732038497925,0.07773351669311523,0,2462,2021-09-18,2719,497,Bantamweight,430.0,-700.0,0.17738359201773837,1,6,0.27319847165553435,True,0.13649219445003205,True,b,0.863507805549968,0.8226164079822617,0.04089139756770632,1.1428571428571428,1,0.0
6162,2,0.3488745093345642,0.04890716075897217,0,2440,2021-09-25,3223,1106,Featherweight,145.0,-200.0,0.37974683544303806,9,9,0.34456765338337375,True,0.3396239090002239,True,b,0.6603760909997761,0.620253164556962,0.04012292644281412,1.5,1,0.0
6165,2,0.2822946608066559,0.040364205837249756,0,2443,2021-09-25,1045,4325,Heavyweight,240.0,-380.0,0.2708803611738149,8,13,0.28001163670146295,True,0.22241250300280752,True,b,0.7775874969971925,0.7291196388261851,0.048467858171007405,1.263157894736842,1,0.0
6167,2,0.2901597023010254,0.033342838287353516,0,2448,2021-09-25,2504,807,Flyweight,300.0,-460.0,0.23333333333333334,10,3,0.28764157052441724,True,0.18827275204324023,True,b,0.8117272479567598,0.7666666666666666,0.04506058129009316,1.2173913043478262,1,0.0
6168,2,0.32828646898269653,0.16440165042877197,0,2447,2021-09-25,232,2720,Heavyweight,163.0,-225.0,0.35451322607035723,8,3,0.3246104336540115,True,0.31081345352122897,True,b,0.689186546478771,0.6454867739296428,0.04369977254912816,1.4444444444444444,1,0.0
6183,2,0.26650872826576233,0.02054661512374878,0,2439,2021-10-02,93,1180,Bantamweight,195.0,-300.0,0.311284046692607,7,11,0.2646915544519628,True,0.2588581882614624,True,b,0.7411418117385375,0.688715953307393,0.052425858431144556,1.3333333333333333,1,0.0
6188,2,0.30725520849227905,0.126753568649292,0,2421,2021-10-09,1600,844,Flyweight,150.0,-200.0,0.375,15,5,0.3042208118573436,True,0.3283799007043375,True,b,0.6716200992956625,0.625,0.046620099295662465,1.5,1,0.0037150744717468487
6217,2,0.267032265663147,0.049364686012268066,0,2386,2021-10-30,589,2320,Light Heavyweight,250.0,-365.0,0.266857962697274,9,7,0.26519978964598,True,0.21662972414984621,True,b,0.7833702758501537,0.733142037302726,0.05022823854742775,1.273972602739726,1,0.0
6218,2,0.33330780267715454,0.05793452262878418,0,2387,2021-10-30,358,1693,Strawweight,130.0,-184.0,0.40158371040723984,5,5,0.3294779932230969,True,0.3597688306022009,True,b,0.6402311693977991,0.5984162895927602,0.04181487980503895,1.5434782608695652,1,0.0
6236,2,0.3249949514865875,0.06072854995727539,0,2371,2021-11-06,646,415,Lightweight,165.0,-225.0,0.35278154681139756,2,8,0.32141963537068363,True,0.3085773865063275,True,b,0.6914226134936725,0.6472184531886025,0.04420416030507002,1.4444444444444444,1,0.0
6244,2,0.26707327365875244,0.08162975311279297,0,2367,2021-11-06,1005,392,Welterweight,220.0,-320.0,0.29085872576177285,13,14,0.2652395985761933,True,0.23932650979182923,True,b,0.7606734902081708,0.7091412742382271,0.05153221596994362,1.3125,1,0.0
6268,2,0.26775091886520386,0.014525055885314941,1,2336,2021-12-04,1918,2789,Middleweight,255.0,-375.0,0.2629757785467128,1,6,0.2658974198797353,True,0.2130902890110334,True,b,0.7869097109889666,0.7370242214532872,0.049885489535679395,1.2666666666666666,0,0.0
6270,2,0.3034433424472809,0.0019448399543762207,1,2334,2021-12-04,3975,2058,Light Heavyweight,140.0,-200.0,0.38461538461538464,4,6,0.30052458227140894,True,0.3375686512199718,True,b,0.6624313487800282,0.6153846153846154,0.047046733395412765,1.5,0,0.0
6281,2,0.24255502223968506,0.0003007650375366211,1,2319,2021-12-11,2311,2923,Bantamweight,210.0,-1250.0,0.25837320574162675,8,15,0.24142467750532304,True,0.20548444396589283,True,b,0.7945155560341072,0.7416267942583732,0.05288876177573398,1.08,0,0.0
6284,2,0.34410056471824646,0.0016320347785949707,0,2322,2021-12-11,372,252,Bantamweight,235.0,-375.0,0.27436823104693137,5,7,0.33993999596095853,True,0.23345881850033878,True,b,0.7665411814996612,0.7256317689530687,0.04090941254659253,1.2666666666666666,1,0.0
6293,2,0.3064081072807312,0.01915276050567627,0,2331,2021-12-11,576,1335,Flyweight,245.0,-400.0,0.26595744680851063,5,10,0.3033994304844592,True,0.2207850798983973,True,b,0.7792149201016028,0.7340425531914894,0.04517236691011339,1.25,1,0.0
6301,2,0.31294679641723633,0.08357250690460205,0,2312,2021-12-18,3759,409,Heavyweight,250.0,-350.0,0.26865671641791045,1,4,0.3097392922417206,True,0.2241649258094719,True,b,0.7758350741905281,0.7313432835820896,0.04449179060843855,1.2857142857142856,1,0.0
6329,2,0.29530608654022217,0.003475189208984375,0,2271,2022-02-05,4468,2975,Middleweight,180.0,-250.0,0.33333333333333337,13,14,0.2926332197421432,True,0.2847269708923566,True,b,0.7152730291076435,0.6666666666666666,0.048606362440976825,1.4,1,0.0008639004691879742
6334,2,0.2788392901420593,0.05796921253204346,1,2277,2022-02-05,2683,4393,Bantamweight,145.0,-250.0,0.3636363636363636,2,4,0.2766589718910138,True,0.3123631915294234,True,b,0.6876368084705766,0.6363636363636365,0.05127317210694016,1.4,0,0.0
6359,2,0.3189604878425598,0.016645431518554688,0,2249,2022-02-19,4237,3557,Middleweight,125.0,-178.0,0.4097273397199705,9,5,0.3155695914370232,True,0.365911684518049,True,b,0.634088315481951,0.5902726602800294,0.043815655201921544,1.5617977528089888,1,0.0
6380,2,0.3057298958301544,0.18437790870666504,0,2223,2022-03-05,3479,4747,Featherweight,130.0,-184.0,0.40158371040723984,26,5,0.30274180205792933,True,0.35533867952006837,True,b,0.6446613204799316,0.5984162895927602,0.04624503088717147,1.5434782608695652,1,0.0
6391,2,0.27381187677383423,0.16548633575439453,0,2207,2022-03-12,4878,2320,Light Heavyweight,400.0,-800.0,0.18367346938775514,22,8,0.27178028542467236,True,0.14186196026171,True,b,0.8581380397382901,0.8163265306122449,0.04181150912604514,1.125,1,0.0
6414,2,0.2747441828250885,0.04273390769958496,0,2204,2022-03-19,603,4168,Bantamweight,-111.0,-140.0,0.474190103239587,3,4,0.27268507693338595,True,0.425747216720833,True,b,0.5742527832791671,0.525809896760413,0.04844288651875406,1.7142857142857144,1,0.0
6423,2,0.2260284721851349,0.09106320142745972,1,2189,2022-03-26,2538,3698,Bantamweight,175.0,-275.0,0.33149171270718236,12,4,0.22535368829789942,True,0.27190394154306524,True,b,0.7280960584569347,0.6685082872928176,0.059587771164117065,1.3636363636363638,0,0.0
6443,2,0.3178315758705139,0.0252993106842041,1,2159,2022-04-16,2041,485,Welterweight,135.0,-189.0,0.39418945645502285,1,5,0.3144751397449422,True,0.34968399438184394,True,b,0.6503160056181561,0.6058105435449772,0.04450546207317885,1.529100529100529,0,0.0
6445,2,0.1937703788280487,0.03980904817581177,0,2161,2022-04-16,4895,602,Featherweight,335.0,-750.0,0.2066869300911854,1,3,0.19392713882966325,True,0.15317449780640197,True,b,0.846825502193598,0.7933130699088146,0.05351243228478342,1.1333333333333333,1,0.0
6448,2,0.3083677291870117,0.07738041877746582,0,2164,2022-04-16,495,4591,Bantamweight,295.0,-700.0,0.22440392706872372,8,7,0.30529953563743933,True,0.1820167871083693,True,b,0.8179832128916307,0.7755960729312763,0.04238713996035437,1.1428571428571428,1,0.0
6471,2,0.34468284249305725,0.03319835662841797,0,2144,2022-04-30,4762,2944,Lightweight,160.0,-235.0,0.35412262156448204,1,1,0.340504428355686,True,0.31281307531938196,True,b,0.687186924680618,0.645877378435518,0.04130954624510008,1.425531914893617,1,0.0
6509,2,0.3012036681175232,0.019621968269348145,0,2107,2022-05-21,1342,735,Bantamweight,190.0,-280.0,0.31879194630872487,6,9,0.29835272419975467,True,0.2712370517249381,True,b,0.7287629482750619,0.6812080536912751,0.04755489458378681,1.3571428571428572,1,0.0
